,Nation,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2010,2011,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995
22,Seychelles,70.0,70.0,66.0,66.0,66.0,60.0,55.0,55.0,55.0,54.0,52.0,48.0,48.0,48.0,48.0,45.0,36.0,40.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0
23,United States,69.0,67.0,67.0,69.0,71.0,75.0,74.0,76.0,74.0,73.0,73.0,71.0,71.0,75.0,73.0,72.0,73.0,76.0,75.0,75.0,77.0,76.0,78.0,75.0,75.0,76.10000000000001,76.6,77.9
24,Taiwan,68.0,68.0,65.0,65.0,63.0,63.0,61.0,62.0,61.0,61.0,61.0,58.0,61.0,56.0,57.0,57.0,59.0,59.0,56.0,57.0,56.0,59.0,55.0,56.0,53.0,50.199999999999996,49.800000000000004,50.8
25,Bhutan,68.0,68.0,68.0,68.0,68.0,67.0,65.0,65.0,65.0,63.0,63.0,57.0,57.0,50.0,52.0,50.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0
26,Chile,67.0,67.0,67.0,67.0,67.0,67.0,66.0,70.0,73.0,71.0,72.0,72.0,72.0,67.0,69.0,70.0,73.0,73.0,74.0,74.0,75.0,75.0,74.0,69.0,68.0,60.5,68.0,79.4
27,United Arab Emirates,67.0,69.0,71.0,71.0,70.0,71.0,66.0,70.0,70.0,69.0,68.0,63.0,68.0,65.0,59.0,57.0,62.0,62.0,61.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0
28,Barbados,65.0,65.0,64.0,62.0,68.0,68.0,61.0,74.0,74.0,75.0,76.0,78.0,78.0,74.0,70.0,69.0,67.0,69.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0
29,Bahamas,64.0,64.0,63.0,64.0,65.0,65.0,66.0,71.0,71.0,71.0,71.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0
30,Israel,63.0,59.0,60.0,60.0,61.0,62.0,64.0,61.0,60.0,61.0,60.0,61.0,58.0,61.0,60.0,61.0,59.0,63.0,64.0,70.0,73.0,76.0,66.0,68.0,71.0,79.7,77.1,77.1
31,South Korea,63.0,62.0,61.0,59.0,57.0,54.0,53.0,56.0,55.0,55.0,56.0,55.0,55.0,55.0,56.0,51.0,51.0,50.0,45.0,43.0,45.0,42.0,40.0,38.0,42.0,42.9,50.199999999999996,42.9
32,Portugal,62.0,62.0,61.0,62.0,64.0,63.0,62.0,63.0,63.0,62.0,63.0,60.0,61.0,58.0,61.0,65.0,66.0,65.0,63.0,66.0,63.0,63.0,64.0,67.0,65.0,69.7,65.3,55.599999999999994
33,Lithuania,62.0,61.0,60.0,60.0,59.0,59.0,59.0,61.0,58.0,57.0,54.0,50.0,48.0,49.0,46.0,48.0,48.0,48.0,46.0,47.0,48.0,48.0,41.0,38.0,38.0,38.0,38.0,38.0
34,Spain,60.0,61.0,62.0,62.0,58.0,57.0,58.0,58.0,60.0,59.0,65.0,61.0,62.0,61.0,65.0,67.0,68.0,70.0,71.0,69.0,71.0,70.0,70.0,66.0,61.0,59.0,43.099999999999994,43.5
35,Saint Vincent and the Grenadines,60.0,59.0,59.0,59.0,58.0,58.0,60.0,67.0,67.0,62.0,62.0,58.0,58.0,64.0,65.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0
36,Botswana,60.0,55.0,60.0,61.0,61.0,61.0,60.0,63.0,63.0,64.0,65.0,58.0,61.0,56.0,58.0,54.0,56.0,59.0,60.0,57.0,64.0,60.0,60.0,61.0,61.0,61.0,61.0,61.0
37,Cape Verde,60.0,58.0,58.0,58.0,57.0,55.0,59.0,55.0,57.0,58.0,60.0,51.0,55.0,51.0,51.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0
38,Brunei Darussalam,60.0,60.0,60.0,60.0,63.0,62.0,58.0,60.0,60.0,60.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0
39,Latvia,59.0,59.0,57.0,56.0,58.0,58.0,57.0,55.0,55.0,53.0,49.0,43.0,42.0,45.0,50.0,48.0,47.0,42.0,40.0,38.0,37.0,34.0,34.0,34.0,27.0,27.0,27.0,27.0
40,Qatar,58.0,63.0,63.0,62.0,62.0,63.0,61.0,71.0,69.0,68.0,68.0,77.0,72.0,70.0,65.0,60.0,60.0,59.0,52.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0
41,Georgia,56.0,55.0,56.0,56.0,58.0,56.0,57.0,52.0,52.0,49.0,52.0,38.0,41.0,41.0,39.0,34.0,28.0,23.0,20.0,18.0,24.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0
42,Slovenia,56.0,57.0,60.0,60.0,60.0,61.0,61.0,60.0,58.0,57.0,61.0,64.0,59.0,66.0,67.0,66.0,64.0,61.0,60.0,59.0,60.0,52.0,55.0,60.0,60.0,60.0,60.0,60.0
43,Italy,56.0,56.0,53.0,53.0,52.0,50.0,47.0,44.0,43.0,43.0,42.0,39.0,39.0,43.0,48.0,52.0,49.0,50.0,48.0,53.0,52.0,55.0,46.0,47.0,46.0,50.300000000000004,34.2,29.900000000000002
44,Czechia,56.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0
45,Dominica,55.0,55.0,55.0,55.0,57.0,57.0,59.0,58.0,58.0,58.0,58.0,52.0,52.0,59.0,60.0,56.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0
46,Saint Lucia,55.0,56.0,56.0,55.0,55.0,55.0,60.0,71.0,71.0,71.0,71.0,70.0,70.0,70.0,71.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0
47,Poland,55.0,56.0,56.0,58.0,60.0,60.0,62.0,62.0,61.0,60.0,58.0,53.0,55.0,50.0,46.0,42.0,37.0,34.0,35.0,36.0,40.0,41.0,41.0,42.0,46.0,50.8,55.7,55.7
48,Costa Rica,54.0,58.0,57.0,56.0,56.0,59.0,58.0,55.0,54.0,53.0,54.0,53.0,48.0,53.0,51.0,50.0,41.0,42.0,49.0,43.0,45.0,45.0,54.0,51.0,56.0,64.5,64.5,64.5
49,Fiji,53.0,55.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0
50,Slovakia,53.0,52.0,49.0,50.0,50.0,50.0,51.0,51.0,50.0,47.0,46.0,43.0,40.0,45.0,50.0,49.0,47.0,43.0,40.0,37.0,37.0,37.0,35.0,35.0,35.0,35.0,35.0,35.0
51,Cyprus,52.0,53.0,57.0,58.0,59.0,57.0,55.0,61.0,63.0,63.0,66.0,63.0,63.0,66.0,64.0,53.0,56.0,57.0,54.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0
52,Greece,52.0,49.0,50.0,48.0,45.0,48.0,44.0,46.0,43.0,40.0,36.0,35.0,34.0,38.0,47.0,46.0,44.0,43.0,43.0,43.0,42.0,42.0,49.0,49.0,49.0,53.5,50.099999999999994,40.4
53,Grenada,52.0,53.0,53.0,53.0,52.0,52.0,56.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0
54,Malta,51.0,54.0,53.0,54.0,54.0,56.0,55.0,56.0,55.0,56.0,57.0,56.0,56.0,52.0,58.0,58.0,64.0,66.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0
55,Rwanda,51.0,53.0,54.0,53.0,56.0,55.0,54.0,54.0,49.0,53.0,53.0,40.0,50.0,33.0,30.0,28.0,25.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0
56,Saudi Arabia,51.0,53.0,53.0,53.0,49.0,49.0,46.0,52.0,49.0,46.0,44.0,47.0,44.0,43.0,35.0,34.0,33.0,34.0,34.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0
57,Mauritius,50.0,54.0,53.0,52.0,51.0,50.0,54.0,53.0,54.0,52.0,57.0,54.0,51.0,54.0,55.0,47.0,51.0,42.0,41.0,44.0,45.0,45.0,47.0,49.0,50.0,50.0,50.0,50.0
58,Croatia,50.0,47.0,47.0,47.0,48.0,49.0,49.0,51.0,48.0,48.0,46.0,41.0,40.0,41.0,44.0,41.0,34.0,34.0,35.0,37.0,38.0,39.0,37.0,27.0,27.0,27.0,27.0,27.0
59,Namibia,49.0,49.0,51.0,52.0,53.0,51.0,52.0,53.0,49.0,48.0,48.0,44.0,44.0,45.0,45.0,45.0,41.0,43.0,41.0,47.0,57.0,54.0,54.0,53.0,53.0,53.0,53.0,53.0
60,Vanuatu,48.0,45.0,43.0,46.0,46.0,43.0,36.0,36.0,36.0,36.0,36.0,36.0,35.0,32.0,29.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0
61,Jordan,47.0,49.0,49.0,48.0,49.0,48.0,48.0,53.0,49.0,45.0,48.0,47.0,45.0,50.0,51.0,47.0,53.0,57.0,53.0,46.0,45.0,49.0,46.0,44.0,47.0,48.9,48.9,48.9
62,Malaysia,47.0,48.0,51.0,53.0,47.0,47.0,49.0,50.0,52.0,50.0,49.0,44.0,43.0,45.0,51.0,51.0,50.0,51.0,50.0,52.0,49.0,50.0,48.0,51.0,53.0,50.099999999999994,53.2,52.800000000000004
63,Armenia,46.0,49.0,49.0,42.0,35.0,35.0,33.0,35.0,37.0,36.0,34.0,26.0,26.0,27.0,29.0,30.0,29.0,29.0,31.0,30.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
64,Romania,46.0,45.0,44.0,44.0,47.0,48.0,48.0,46.0,43.0,43.0,44.0,37.0,36.0,38.0,38.0,37.0,31.0,30.0,29.0,28.0,26.0,28.0,29.0,33.0,30.0,34.4,34.4,34.4
65,Cuba,45.0,46.0,47.0,48.0,47.0,47.0,47.0,47.0,46.0,46.0,48.0,37.0,42.0,44.0,43.0,42.0,35.0,38.0,37.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0
66,China,45.0,45.0,42.0,41.0,39.0,41.0,40.0,37.0,36.0,40.0,39.0,35.0,36.0,36.0,36.0,35.0,33.0,32.0,34.0,34.0,35.0,35.0,31.0,34.0,35.0,28.799999999999997,24.3,21.6
67,São Tomé and Príncipe,45.0,45.0,47.0,46.0,46.0,46.0,46.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0
68,Montenegro,45.0,46.0,45.0,45.0,45.0,46.0,45.0,44.0,42.0,44.0,41.0,37.0,40.0,39.0,34.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0
69,Oman,44.0,52.0,54.0,52.0,52.0,44.0,45.0,45.0,45.0,47.0,47.0,53.0,48.0,55.0,55.0,47.0,54.0,63.0,61.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0
70,Jamaica,44.0,44.0,44.0,43.0,44.0,44.0,39.0,41.0,38.0,38.0,38.0,33.0,33.0,30.0,31.0,33.0,37.0,36.0,33.0,38.0,40.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0
